sepal_length,sepal_width,petal_length,petal_width,avg_sepal_length,avg_sepal_width,avg_petal_length,avg_petal_width,is_probably_outlier,iris_class
61.0,28.0,47.0,12.0,,,,,,IRIS-VERSICOLOR
64.0,29.0,43.0,13.0,,,,,,IRIS-VERSICOLOR
66.0,30.0,44.0,14.0,,,,,,IRIS-VERSICOLOR
68.0,28.0,48.0,14.0,,,,,,IRIS-VERSICOLOR
67.0,30.0,50.0,17.0,,,,,,IRIS-VERSICOLOR
60.0,29.0,45.0,15.0,,,,,,IRIS-VERSICOLOR
57.0,26.0,35.0,10.0,,,,,,IRIS-VERSICOLOR
55.0,24.0,38.0,11.0,,,,,,IRIS-VERSICOLOR
55.0,24.0,37.0,10.0,,,,,,IRIS-VERSICOLOR
58.0,27.0,39.0,12.0,,,,,,IRIS-VERSICOLOR
60.0,27.0,51.0,16.0,,,,,,IRIS-VERSICOLOR
54.0,30.0,45.0,15.0,,,,,,IRIS-VERSICOLOR
60.0,34.0,45.0,16.0,,,,,,IRIS-VERSICOLOR
67.0,31.0,47.0,15.0,,,,,,IRIS-VERSICOLOR
63.0,23.0,44.0,13.0,,,,,,IRIS-VERSICOLOR
56.0,30.0,41.0,13.0,,,,,,IRIS-VERSICOLOR
55.0,25.0,40.0,13.0,,,,,,IRIS-VERSICOLOR
55.0,26.0,44.0,12.0,,,,,,IRIS-VERSICOLOR
61.0,30.0,46.0,14.0,,,,,,IRIS-VERSICOLOR
58.0,26.0,40.0,12.0,,,,,,IRIS-VERSICOLOR
50.0,23.0,33.0,10.0,,,,,,IRIS-VERSICOLOR
56.0,27.0,42.0,13.0,,,,,,IRIS-VERSICOLOR
57.0,30.0,42.0,12.0,,,,,,IRIS-VERSICOLOR
57.0,29.0,42.0,13.0,,,,,,IRIS-VERSICOLOR
62.0,29.0,43.0,13.0,,,,,,IRIS-VERSICOLOR
51.0,25.0,30.0,11.0,,,,,,IRIS-VERSICOLOR
57.0,28.0,41.0,13.0,,,,,,IRIS-VERSICOLOR
63.0,33.0,60.0,25.0,,,,,,IRIS-VIRGINICA
58.0,27.0,51.0,19.0,,,,,,IRIS-VIRGINICA
71.0,30.0,59.0,21.0,,,,,,IRIS-VIRGINICA
63.0,29.0,56.0,18.0,,,,,,IRIS-VIRGINICA
65.0,30.0,58.0,22.0,,,,,,IRIS-VIRGINICA
76.0,30.0,66.0,21.0,,,,,,IRIS-VIRGINICA
49.0,25.0,45.0,17.0,,,,,,IRIS-VIRGINICA
73.0,29.0,63.0,18.0,,,,,,IRIS-VIRGINICA
67.0,25.0,58.0,18.0,,,,,,IRIS-VIRGINICA
72.0,36.0,61.0,25.0,,,,,,IRIS-VIRGINICA
65.0,32.0,51.0,20.0,,,,,,IRIS-VIRGINICA
64.0,27.0,53.0,19.0,,,,,,IRIS-VIRGINICA
68.0,30.0,55.0,21.0,,,,,,IRIS-VIRGINICA
57.0,25.0,50.0,20.0,,,,,,IRIS-VIRGINICA
58.0,28.0,51.0,24.0,,,,,,IRIS-VIRGINICA
64.0,32.0,53.0,23.0,,,,,,IRIS-VIRGINICA
65.0,30.0,55.0,18.0,,,,,,IRIS-VIRGINICA
77.0,38.0,67.0,22.0,,,,,,IRIS-VIRGINICA
77.0,26.0,69.0,23.0,,,,,,IRIS-VIRGINICA
60.0,22.0,50.0,15.0,,,,,,IRIS-VIRGINICA
69.0,32.0,57.0,23.0,,,,,,IRIS-VIRGINICA
56.0,28.0,49.0,20.0,,,,,,IRIS-VIRGINICA
77.0,28.0,67.0,20.0,,,,,,IRIS-VIRGINICA
63.0,27.0,49.0,18.0,,,,,,IRIS-VIRGINICA
67.0,33.0,57.0,21.0,,,,,,IRIS-VIRGINICA
72.0,32.0,60.0,18.0,,,,,,IRIS-VIRGINICA
62.0,28.0,48.0,18.0,,,,,,IRIS-VIRGINICA
61.0,30.0,49.0,18.0,,,,,,IRIS-VIRGINICA
64.0,28.0,56.0,21.0,,,,,,IRIS-VIRGINICA
72.0,30.0,58.0,16.0,,,,,,IRIS-VIRGINICA
74.0,28.0,61.0,19.0,,,,,,IRIS-VIRGINICA
79.0,38.0,64.0,20.0,,,,,,IRIS-VIRGINICA
64.0,28.0,56.0,22.0,,,,,,IRIS-VIRGINICA
63.0,28.0,51.0,15.0,,,,,,IRIS-VIRGINICA
61.0,26.0,56.0,14.0,,,,,,IRIS-VIRGINICA
77.0,30.0,61.0,23.0,,,,,,IRIS-VIRGINICA
63.0,34.0,56.0,24.0,,,,,,IRIS-VIRGINICA
64.0,31.0,55.0,18.0,,,,,,IRIS-VIRGINICA
60.0,30.0,48.0,18.0,,,,,,IRIS-VIRGINICA
69.0,31.0,54.0,21.0,,,,,,IRIS-VIRGINICA
67.0,31.0,56.0,24.0,,,,,,IRIS-VIRGINICA
69.0,31.0,51.0,23.0,,,,,,IRIS-VIRGINICA
58.0,27.0,51.0,19.0,,,,,,IRIS-VIRGINICA
68.0,32.0,59.0,23.0,,,,,,IRIS-VIRGINICA
67.0,33.0,57.0,25.0,,,,,,IRIS-VIRGINICA
67.0,30.0,52.0,23.0,,,,,,IRIS-VIRGINICA
63.0,25.0,50.0,19.0,,,,,,IRIS-VIRGINICA
65.0,30.0,52.0,20.0,,,,,,IRIS-VIRGINICA
62.0,34.0,54.0,23.0,,,,,,IRIS-VIRGINICA
59.0,30.0,51.0,18.0,,,,,,IRIS-VIRGINICA
